PMID,Title,Abstract,ISSN,Journal,Location,Year,FirstAuthorForename,FirstAuthorLastname,FirstAuthorInitials,FirstAuthorAffiliation,Relevant
22164373,[Toxicity of niclosamide with plastic film mulching to fish].,To observe the toxicity of niclosamide with plastic film mulching to fish.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 38-41,2011,Hong-Qing,Zhu,HQ,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Shanghai 200025, China.",False
22164378,"[Discussion on strategy of imported falciparum malaria control in Baoying County, 2007 -2009].",The analysis on control of imported falciparum malaria in Baoying County from 2007 to 2009 showed that all the 25 cases occured were cured. It suggested that the prevention and control strategy and measures on imported falciparum malaria in local areas were effective.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 64, 78",2011,Jia-Xiang,Lu,JX,"Baoying Center for Disease Control and Prevention, Jiangsu Province, Baoying 225800, China.",False
22164380,[Detection of Cryptospordium spp. in environmental water samples by FTA-PCR].,To establish a FTA-polymeras chain reaction (FTA-PCR) method in detection of Cryptospordium spp. in different sources of water.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 71-3,2011,Xiao-Ping,Zhang,XP,"Shanghai Municipal Center for Disease Control and Prevention, Shanghai 200336, China.",False
22164381,[Relationship between falciparum malaria incidence and the number of Anopheles dirus in Hainan from 2001 to 2008].,"To analyze the relationship between falciparum malaria incidence and the number of Anopheles dirus in Hainan Province from 2001 to 2008, so as to provide the evidence for malaria control and prevention in Hainan Province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 74-5,2011,Guang-Ze,Wang,GZ,"Hainan Center for Disease Control and Prevention, Haikou 570203, China.",False
22164389,[Epidemic situation and control of soil-transmitted nematodiasis in Jiangsu Province].,"To analyze the prevalence changes and the control measures of soil-transmitted nematodiases in Jiangsu Province in the recent 20 years and evaluate the control effect, so as to explore the control strategies and measures appropriate to current epidemic characteristics.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 95-8,2011,Han-Jun,Cao,HJ,"Jiangsu Institute of Parasitic diseases, Wuxi 214064, China.",False
22164390,[Progress in fibrinogen-related proteins of invertebrates].,"The innate immunity of invertebrate is one of the focuses of current research. The results show that fibrinogen-related proteins (FREPs) play an important role in invertebrates immune defense, which is considered one of the most important molecule to participate in immune defense. This article introduces the latest research on FREPs from three aspects, namely molecular structure, molecular polymorphisms and function. This will provide a theoretical basis to understand the innate immune mechanisms of invertebrates and co-evolution in host and parasites.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 99-102,2011,Qin,Liu,Q,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Key Laboratory of Parasite and Vector Biology, Ministry of Health, Shanghai 200025, China.",False
22164392,[Consideration on revision of current sanitary standard for non-hazardous treatment of night soil].,"With the decrease of parasitic ovum in night soil, the current Sanitary Standard for the Non-hazardous Treatment of Night Soil is not suitable for health situation of populations and actually sanitary state of night soil. The concept of green decontamination should be introduced into the design, construction, utilization and management. The feasibility of the current standard need to be improved. Considering the current sanitary state of night soil, decontamination, the impact to environment, actual constructing situations of sanitary toilet and its implementation, it is necessary to establish a new assessment system by adding environmental indicators and sensitive markers reflecting terminal contaminated state.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 103-4,2011,Wei,Hai-Chun,W,"National Center for Rural Water Supply Technical Guidance, Chinese Center for Disease Control and Prevention, Beijing 102200, China.",False
22164396,[Three cases report of sparganosis mansoni in Jiangyin City].,"In 2009, 3 cases with sparganosis mansoni occurred in Jiangyin City for the first time, which suggested that the propaganda and education should be strengthened.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 110,2011,Ju-Jing,Zhou,JJ,"Jiangyin Center for Disease Control and Prevention, Jiangsu Province, Jiangyin 214434, China.",False
22164480,[Influencing factors on infections of human intestinal helminthes in suburb of Shangyu City].,"The infections of human intestinal helminthes and socioeconomic status were investigated in suburb of Shangyu City in 1990 and 2005, respectively. The results showed that the economic status, the save drinking water and latrines, working environment, and health habits and consciousness of the residents improved obviously. The infection rate of intestinal helminthes decreased significantly and the prevalence of intestinal helminthosis was controlled effectively.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 236, 242",2011,Hu,Song-Lin,H,"Shangyu Center for Disease Control and Prevention, Zhejiang Province, Shangyu 312300, China.",False
22164489,"[Surveillance of soil-transmitted nematode infections in Menghai County, Yunnan Province from 2006 to 2009].","In the national monitoring point, Menghai County, Yunnan Province, the total prevalence rate of soil-transmitted nematode infections was 88.12%, of which the rates of Ascaris lumbricoides, Trichuris trichiura, hookworm and cestode infections were 69.70%, 59.79%, 36.79%, and 1.30% respectively from 2006 to 2009. The infection intensities were slight. The Ascaris lumbricoides infection rate in soil of vegetable garden was 44.5%. In conclusion, the infection rate of soil-transmitted nematodes is high in the monitoring point.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 272, 278",2011,Li-Bo,Wang,LB,"Yunnan Institute of Parasitic Diseases, Puer 665000, China.",False
