Author,Degree Centrality,Betweenness Centrality
M Divizia,0.0004824757900541062,4.926988821269717e-05
R Gabrieli,0.0004824757900541062,4.926988821269717e-05
M L Stefanoni,0.0004824757900541062,4.926988821269717e-05
E Renganathan,0.0006203260157838508,0.0006304095533608878
E El Ghazzawi,0.0004824757900541062,4.926988821269717e-05
O A Kader,0.0004824757900541062,4.926988821269717e-05
F Gamil,0.0009304890236757761,0.00013314810663954247
G El Sawaf,0.0004824757900541062,4.926988821269717e-05
E El Sherbini,0.0004824757900541062,4.926988821269717e-05
E Saleh,0.0004824757900541062,4.926988821269717e-05
A M Degener,0.0004824757900541062,4.926988821269717e-05
A Noce,0.0004824757900541062,4.926988821269717e-05
L Zaratti,0.0004824757900541062,4.926988821269717e-05
A Modesti,0.0004824757900541062,4.926988821269717e-05
A Panà,0.0004824757900541062,4.926988821269717e-05
M M Hassan,0.00044801323362167,3.9666737364510566e-07
M H Hegab,0.0005514009029189785,4.125023985411177e-07
S Z Soliman,0.00017231278216218077,5.7006089625643926e-08
O A Gaber,0.00017231278216218077,5.7006089625643926e-08
M M Shalaby,0.00017231278216218077,5.7006089625643926e-08
F M Kamel,0.00017231278216218077,5.7006089625643926e-08
F Trottein,0.0005858634593514146,4.935927692823515e-05
S Nutten,0.0002412378950270531,0.00011404207924972353
V Angeli,0.0003790881207567977,4.9285446124657486e-05
P Delerive,0.0002412378950270531,0.00011404207924972354
E Teissier,0.0003790881207567977,4.9285446124657486e-05
A Capron,0.0012751145880001377,0.0022131031021141675
B Staels,0.0002412378950270531,0.00011404207924972354
M Capron,0.0010683392494055207,0.000443554422489291
M Nyindo,0.00017231278216218077,1.9002029875214643e-08
I O Farah,0.00020677533859461694,2.0585532364815866e-08
D M Oliveira,0.00017231278216218077,4.9271471715186765e-05
D N Silva-Teixeira,0.00017231278216218077,4.9271471715186765e-05
R Araújo-Filho,0.00010338766929730847,7.390067562501052e-05
A M Goes,0.0007581762415135954,0.0014344546656820916
G B Andrade,0.00010338766929730847,7.125761203205491e-09
G S Montes,0.00010338766929730847,7.125761203205491e-09
G M Conceição,0.00010338766929730847,7.125761203205491e-09
P H Saldiva,0.00010338766929730847,7.125761203205491e-09
H Moné,0.0005169383464865424,0.0006690423380135343
G Mouahid,0.0005169383464865424,0.0006690423380135343
S Morand,6.892511286487231e-05,4.9270104144854844e-05
P W Mola,0.00017231278216218077,1.9002029875214643e-08
T M Kariuki,0.00020677533859461694,2.1773159232016777e-08
R E Blanton,0.00017231278216218077,1.9002029875214643e-08
C L King,0.00027570045145948924,5.0276204044838746e-08
R D Cummings,0.00010338766929730847,7.125761203205491e-09
A K Nyame,0.00010338766929730847,7.125761203205491e-09
L de Gentile,6.892511286487231e-05,4.750507468803661e-09
L Grandière-Perez,6.892511286487231e-05,4.750507468803661e-09
D Chabasse,6.892511286487231e-05,4.750507468803661e-09
G C Gray,0.0004824757900541062,3.325355228162563e-08
E N Kassira,0.0004824757900541062,3.325355228162563e-08
G R Rodier,0.0004824757900541062,3.325355228162563e-08
M C Myers,0.0004824757900541062,3.325355228162563e-08
C A Calamaio,0.0004824757900541062,3.325355228162563e-08
M Gregory,0.0004824757900541062,3.325355228162563e-08
M A Nagi,0.0004824757900541062,3.325355228162563e-08
K Kamal,0.0004824757900541062,3.325355228162563e-08
B A Botros,0.0004824757900541062,3.325355228162563e-08
A K Soliman,0.0004824757900541062,3.325355228162563e-08
N F Hassan,0.0004824757900541062,3.325355228162563e-08
R Gregory,0.0004824757900541062,3.325355228162563e-08
B K Arunkumar,0.0004824757900541062,3.325355228162563e-08
A Cope,0.0004824757900541062,3.325355228162563e-08
K C Hyams,0.0004824757900541062,3.325355228162563e-08
A Oto,6.892511286487231e-05,4.750507468803661e-09
O Akhan,6.892511286487231e-05,4.750507468803661e-09
M Ozmen,6.892511286487231e-05,4.750507468803661e-09
N B Chilton,0.00010338766929730847,4.926988821269717e-05
Q Bao-Zhen,0.00010338766929730847,4.926988821269717e-05
H O Bøgh,0.00010338766929730847,4.926988821269717e-05
P Nansen,0.00020677533859461694,0.00019705817556717894
M G Hernandez,0.0002412378950270531,4.926988821269717e-05
J C Hafalla,0.0002412378950270531,4.926988821269717e-05
L P Acosta,0.0002412378950270531,4.926988821269717e-05
F F Aligui,0.0002412378950270531,4.926988821269717e-05
G D Aligui,0.0004135506771892339,0.00013468468110568857
B L Ramirez,0.0002412378950270531,4.926988821269717e-05
D W Dunne,0.0012061894751352654,0.0008381005905894343
M L Santiago,0.0002412378950270531,4.926988821269717e-05
S Biays,0.0004135506771892339,0.0001483879656836181
A H Stich,0.0004135506771892339,0.0001483879656836181
P Odermatt,0.0009649515801082124,0.0006042756043444913
C Long,0.0006203260157838508,0.0005911536703868095
C Yersin,0.0002412378950270531,4.9472305749003254e-05
C Men,0.0004135506771892339,0.0001483879656836181
C Saem,0.0004135506771892339,0.0001483879656836181
J D Lormand,0.0004135506771892339,0.0001483879656836181
K Sokha,0.00034462556432436153,4.947230574900324e-05
C S Ly,0.00034462556432436153,4.947230574900324e-05
P Legros,0.00034462556432436153,4.947230574900324e-05
M Philips,0.00034462556432436153,4.947230574900324e-05
M Tanner,0.0020677533859461694,0.0030487477495235384
B Salafsky,0.00013785022572974462,4.926988821269717e-05
K Ramaswamy,0.00013785022572974462,4.926988821269717e-05
Y X He,0.00013785022572974462,4.926988821269717e-05
J Li,0.0005858634593514146,0.000591040183006892
T Shibuya,0.00013785022572974462,4.927226346643157e-05
G M Mkoji,0.0007581762415135954,5.5940143648253086e-05
B V Hofkin,0.00044801323362167,5.269831071401071e-05
A M Kuris,0.00044801323362167,5.269831071401071e-05
A Stewart-Oaten,0.00044801323362167,5.269831071401071e-05
B N Mungai,0.0007581762415135954,5.5940143648253086e-05
J H Kihara,0.0010338766929730847,0.0005779305162746312
F Mungai,0.00044801323362167,5.26983107140107e-05
J Yundu,0.00044801323362167,5.26983107140107e-05
J Mbui,0.00044801323362167,5.26983107140107e-05
J R Rashid,0.00044801323362167,5.26983107140107e-05
C H Kariuki,0.00044801323362167,5.26983107140107e-05
J H Ouma,0.0014129648137298824,0.0005582482696144745
D K Koech,0.00044801323362167,5.26983107140107e-05
E S Loker,0.0012406520315677017,0.002594784850708075
G S Cooke,0.00010338766929730847,7.125761203205491e-09
A Lalvani,0.00010338766929730847,7.125761203205491e-09
F V Gleeson,0.00010338766929730847,7.125761203205491e-09
C P Conlon,0.00010338766929730847,7.125761203205491e-09
E O Hassan,6.892511286487231e-05,4.750507468803661e-09
M el-Hussinie,6.892511286487231e-05,4.750507468803661e-09
N el-Nahal,6.892511286487231e-05,4.750507468803661e-09
A H Saad,0.00013785022572974462,1.4251522406410981e-08
A Abdelbaky,0.00013785022572974462,1.4251522406410981e-08
A M Osman,0.00020677533859461694,3.325355228162563e-08
K F Abdallah,0.00013785022572974462,1.4251522406410981e-08
D Salem,0.00013785022572974462,1.4251522406410981e-08
