Author,Degree Centrality,Betweenness Centrality
M Divizia,0.0004824757900541062,0.0
R Gabrieli,0.0004824757900541062,0.0
M L Stefanoni,0.0004824757900541062,0.0
E Renganathan,0.0006203260157838508,0.0005032182422315615
E El Ghazzawi,0.0004824757900541062,0.0
O A Kader,0.0004824757900541062,0.0
F Gamil,0.0009304890236757761,0.0001605166107117647
G El Sawaf,0.0004824757900541062,0.0
E El Sherbini,0.0004824757900541062,0.0
E Saleh,0.0004824757900541062,0.0
A M Degener,0.0004824757900541062,0.0
A Noce,0.0004824757900541062,0.0
L Zaratti,0.0004824757900541062,0.0
A Modesti,0.0004824757900541062,0.0
A Panà,0.0004824757900541062,0.0
M M Hassan,0.00044801323362167,3.396846960186359e-07
M H Hegab,0.0005514009029189785,3.5552081238314104e-07
S Z Soliman,0.00017231278216218077,0.0
O A Gaber,0.00017231278216218077,0.0
M M Shalaby,0.00017231278216218077,0.0
F M Kamel,0.00017231278216218077,0.0
F Trottein,0.0005858634593514146,0.0001066950422000732
S Nutten,0.0002412378950270531,0.0
V Angeli,0.0003790881207567977,1.425250472805465e-08
P Delerive,0.0002412378950270531,0.0
E Teissier,0.0003790881207567977,1.425250472805465e-08
A Capron,0.0012751145880001377,0.0021220056290787125
B Staels,0.0002412378950270531,0.0
M Capron,0.0010683392494055207,0.00047632425065246496
M Nyindo,0.00017231278216218077,0.0
I O Farah,0.00020677533859461694,2.3754174546757758e-09
D M Oliveira,0.00017231278216218077,1.583611636450517e-09
D N Silva-Teixeira,0.00017231278216218077,1.583611636450517e-09
R Araújo-Filho,0.00010338766929730847,0.0
A M Goes,0.0007581762415135954,0.0022833100183357155
G B Andrade,0.00010338766929730847,0.0
G S Montes,0.00010338766929730847,0.0
G M Conceição,0.00010338766929730847,0.0
P H Saldiva,0.00010338766929730847,0.0
H Moné,0.0005169383464865424,0.0006152028341884788
G Mouahid,0.0005169383464865424,0.0006152028341884788
S Morand,6.892511286487231e-05,0.0
P W Mola,0.00017231278216218077,0.0
T M Kariuki,0.00020677533859461694,2.3754174546757758e-09
R E Blanton,0.00017231278216218077,0.0
C L King,0.00027570045145948924,3.0880426910785087e-08
R D Cummings,0.00010338766929730847,0.0
A K Nyame,0.00010338766929730847,0.0
L de Gentile,6.892511286487231e-05,0.0
L Grandière-Perez,6.892511286487231e-05,0.0
D Chabasse,6.892511286487231e-05,0.0
G C Gray,0.0004824757900541062,0.0
E N Kassira,0.0004824757900541062,0.0
