Author,Degree Centrality,Betweenness Centrality
Gernot Schabbauer,0.10071942446043167,0.0
Stephan Blüml,0.10071942446043167,0.0
John J O'Shea,0.10071942446043167,0.0
Andreas Bergthaler,0.10071942446043167,0.0
Peter J Murray,0.10071942446043167,0.0
Omar Sharif,0.10071942446043167,0.0
Jörg Menche,0.10071942446043167,0.0
Oscar Yanes,0.10071942446043167,0.0
Josef S Smolen,0.10071942446043167,0.0
Paul Cheng,0.10071942446043167,0.0
Felix Meissner,0.10071942446043167,0.0
Thomas Weichhart,0.10071942446043167,0.0
Alexander Lercher,0.10071942446043167,0.0
Markus Kieler,0.10071942446043167,0.0
Melanie Hofmann,0.10071942446043167,0.0
Loan Vulliard,0.10071942446043167,0.0
Gerhard Krönke,0.10071942446043167,0.0
Kristaps Klavins,0.10071942446043167,0.0
Julia S Brunner,0.10071942446043167,0.0
Martina Kerndl,0.10071942446043167,0.0
Victoria Saferding,0.10071942446043167,0.0
Birgit Niederreiter,0.10071942446043167,0.0
Alexandra Junza,0.10071942446043167,0.0
Annika Frauenstein,0.10071942446043167,0.0
Andrea Vogel,0.10071942446043167,0.0
Marion Russier,0.10071942446043167,0.0
Johanna B Brüggenthies,0.10071942446043167,0.0
Yohei Mikami,0.10071942446043167,0.0
Carina Scholtysek,0.10071942446043167,0.0
Christoph G Grevelding,0.08273381294964029,0.001980365166350674
Thomas Quack,0.07913669064748202,0.0015258551281718308
Thomas Longerich,0.04316546762589928,0.0
Sevinc Padem,0.04316546762589928,0.0
Ralf Weiskirchen,0.04316546762589928,0.0
Karuna Irungbam,0.04316546762589928,0.0
Annette Tschuschner,0.04316546762589928,0.0
Gabriele Schramm,0.04316546762589928,0.0
Xin Qi,0.04316546762589928,0.0
Xuefeng Wang,0.04316546762589928,0.0
Yalin Li,0.04316546762589928,0.0
Jifeng Zhu,0.04316546762589928,0.0
Xiaojun Chen,0.04316546762589928,0.0
Yongbin Ma,0.04316546762589928,0.0
Wei Li,0.04316546762589928,0.0
Yanan Pu,0.04316546762589928,0.0
Liyang Dong,0.04316546762589928,0.0
Chuan Su,0.04316546762589928,0.0
Lina Zhang,0.04316546762589928,0.0
Lei Xu,0.04316546762589928,0.0
Sha Zhou,0.04316546762589928,0.0
Anita Windhorst,0.04316546762589928,0.0
Elke Roeb,0.04316546762589928,0.0
Yuri Churin,0.04316546762589928,0.0
Jakob Lichtenberger,0.04316546762589928,0.0
Martin Roderfeld,0.04316546762589928,0.0
Zhigang Lu,0.03956834532374101,9.73950081811807e-05
Steffen Hahnel,0.03956834532374101,9.73950081811807e-05
Laércio Ribeiro Tenório,0.03237410071942446,0.0
Yupa Chusongsang,0.03237410071942446,0.0
Nattapon Simanon,0.03237410071942446,0.0
Onrapak Reamtong,0.03237410071942446,0.0
Poom Adisakwattana,0.03237410071942446,0.0
Celina da Costa Lacet,0.03237410071942446,0.0
Songtham Anuntakarun,0.03237410071942446,0.0
Ahmed H Abdel-Tawab,0.03237410071942446,0.0003636080305430746
Colette Dissous,0.03237410071942446,9.090200763576865e-05
Tipparat Thiangtrongjit,0.03237410071942446,0.0
A Théron,0.03237410071942446,0.0
Rozangela M A F Wyszomirska,0.03237410071942446,0.0
J Vercruysse,0.03237410071942446,0.0
B L Webster,0.03237410071942446,0.0
J Jourdane,0.03237410071942446,0.0
B Gryseels,0.03237410071942446,0.0
D Rollinson,0.03237410071942446,0.0
Elza Cotrim Soares,0.03237410071942446,0.0
Francisco Oliveira,0.03237410071942446,0.0
Jazon Romilson Souza Almeida,0.03237410071942446,0.0
Maria do Carmo Lins Vasconcelos Balwani,0.03237410071942446,0.0
João Batista Neto,0.03237410071942446,0.0
Sunchai Payungporn,0.03237410071942446,0.0
Maria Aparecida Mesquita,0.03237410071942446,0.0
Nancy F Nishimura,0.03237410071942446,0.0
Orawan Phuphisut,0.03237410071942446,0.0
Phiraphol Chusongsang,0.03237410071942446,0.0
Yanin Limpanont,0.03237410071942446,0.0
V Southgate,0.03237410071942446,0.0
D De Clercq,0.03237410071942446,0.0
M Sène,0.03237410071942446,0.0
L A Tchuem Tchuenté,0.03237410071942446,0.0
Xi Sun,0.02877697841726619,0.0
Katia Cailliau,0.02877697841726619,0.0
Zifeng Zhu,0.02877697841726619,0.0
Yao Liao,0.02877697841726619,0.0
Lifu Wang,0.02877697841726619,0.0
Mathieu Vanderstraete,0.02877697841726619,0.0
Marion Morel,0.02877697841726619,0.0
Sophia J Parker-Manuel,0.02877697841726619,0.0
Gan Zhao,0.02877697841726619,0.0
Bin Wang,0.02877697841726619,0.0
Youmin Kang,0.02877697841726619,0.0
Yiwei Zhong,0.02877697841726619,0.0
Hairui Su,0.02877697841726619,0.0
Zhongdao Wu,0.02877697841726619,0.0
Ji Wu,0.02877697841726619,0.0
Ruibing Yang,0.02877697841726619,0.0
Zilong Yu,0.02877697841726619,0.0
Lichao Zhang,0.02877697841726619,0.0
Shuang Geng,0.02877697841726619,0.0
Qiang Zou,0.02877697841726619,0.0
Jin Jin,0.02877697841726619,0.0
Qiang Liu,0.02877697841726619,0.0
Matheus Augusto Souza,0.025179856115107917,0.0
Eliziária C Santos,0.025179856115107917,0.0
Reggiani V Gonçalves,0.025179856115107917,0.0
Elda Gonçalves-Santos,0.025179856115107917,0.0
Frances M Jones,0.025179856115107917,0.0
Alexi Crosby,0.025179856115107917,0.0
Mark Southwood,0.025179856115107917,0.0
Ralph Schermuly,0.025179856115107917,0.0
Susan Stewart,0.025179856115107917,0.0
David W Dunne,0.025179856115107917,0.0
Nicholas W Morrell,0.025179856115107917,0.0
Amany F El-Fakahany,0.025179856115107917,0.0
Amina I Abdel-Maboud,0.025179856115107917,0.0
Azza M S El-Hamshary,0.025179856115107917,0.0
Nagwa S M Aly,0.025179856115107917,0.0
Mohsen M Negm-Eldin,0.025179856115107917,0.0
Karim F Abd-Allah,0.025179856115107917,0.0
Mohamed H Saleh,0.025179856115107917,0.0
Ghazwan Butrous,0.025179856115107917,0.0
G L Birbeck,0.025179856115107917,0.0
S Kampondeni,0.025179856115107917,0.0
A Gonani,0.025179856115107917,0.0
C A Hammond,0.025179856115107917,0.0
M J Potchen,0.025179856115107917,0.0
Guofeng Cheng,0.025179856115107917,0.0001558320130898891
Donald P McManus,0.025179856115107917,5.194400436329637e-05
Melissa L Burke,0.025179856115107917,5.194400436329637e-05
Geoffrey N Gobert,0.025179856115107917,5.194400436329637e-05
K S Phiri,0.025179856115107917,0.0
K B Seydel,0.025179856115107917,0.0
T E Taylors,0.025179856115107917,0.0
Camila C Campos,0.025179856115107917,0.0
Marcos J Marques,0.025179856115107917,0.0
Raquel L M Souza,0.025179856115107917,0.0
Rômulo D Novaes,0.025179856115107917,0.0
Nancy Holroyd,0.02158273381294964,0.0
Juntao Liu,0.02158273381294964,0.0
Lihui Zhu,0.02158273381294964,0.0
Matthew Berriman,0.02158273381294964,0.0
Yongjun Chen,0.02158273381294964,0.0
Jin Mo Yang,0.02158273381294964,0.0
U-Im Chang,0.02158273381294964,0.0
Chang Kyun Hong,0.02158273381294964,0.0
Jin Young Yoo,0.02158273381294964,0.0
Jin Dong Kim,0.02158273381294964,0.0
Lihui Wang,0.02158273381294964,0.0
Florian Sessler,0.02158273381294964,0.0
Jianjun Li,0.02158273381294964,0.0
M Delerue,0.02158273381294964,0.0
H Savini,0.02158273381294964,0.0
