Author,Degree Centrality,Betweenness Centrality
Jürg Utzinger,0.04513435950952257,0.023950262128862185
Xiao-Nong Zhou,0.03391599269501696,0.019031997827448775
J Russell Stothard,0.03026350117401513,0.021658202909850217
Jing Xu,0.025306548395512652,0.007221528330922251
Daniel G Colley,0.025306548395512652,0.009203872849132483
David Rollinson,0.024002087138012,0.019532117936742064
Eliézer K N'Goran,0.023219410383511607,0.0030612923575505237
Joanne P Webster,0.02295851813201148,0.012860525363329269
Penelope Vounatsou,0.022175841377511087,0.0065076875860060135
Kun Yang,0.019827811114009913,0.00369181557287648
Fiona M Fleming,0.01747978085050874,0.001993946224892701
Robert Bergquist,0.017218888599008608,0.004796579115588944
Song Liang,0.01695799634750848,0.008242393378318905
Nicholas Midzi,0.016436211844508216,0.001601116861219767
Charles H King,0.016436211844508216,0.0018991187095579595
Stefanie Knopp,0.016436211844508216,0.0018618382816269225
Donald P McManus,0.016175319593008088,0.0071734345254145845
Dan-Dan Lin,0.015392642838507695,0.0026560963274859795
Shi-Zhu Li,0.015131750587007565,0.0028053173724160276
Amadou Garba,0.014609966084007305,0.008073946705160581
Fiona Allan,0.014609966084007305,0.00519801761646583
Qiang Wang,0.014609966084007305,0.0031277444544250636
Dong-Chuan Qiu,0.014609966084007305,0.0025661767694461005
Yue Chen,0.014349073832507175,0.002218348065683068
W Evan Secor,0.014349073832507175,0.0024924640063073416
Qingwu Jiang,0.013827289329506913,0.0007193508654011761
Jia-Gang Guo,0.013305504826506652,0.0018563902499581402
Narcis B Kabatereine,0.013044612575006522,0.003535212568032245
Bo Zhong,0.013044612575006522,0.002309135904659121
Tian-Ping Wang,0.012783720323506392,0.0003916205612037479
Carl H Campbell,0.012522828072006262,0.002264724847737797
Mamadou Ouattara,0.012522828072006262,0.0004245350600243665
Ryan E Wiegand,0.01226193582050613,0.0018114306325848354
Yue-Sheng Li,0.01226193582050613,0.0009303392117038392
Nupur Kittur,0.01147925906600574,0.0008727099184815747
