Author,Degree Centrality,Betweenness Centrality
Donald P McManus,0.03291814946619217,0.01661047743574605
Alex Loukas,0.028469750889679714,0.012721981163424849
Afzal A Siddiqui,0.022686832740213523,0.0016835581751020704
Mark S Pearson,0.02179715302491103,0.0015862513128248462
Cornelis H Hokke,0.02179715302491103,0.0014107250421149368
Paul L A M Corstjens,0.019572953736654804,0.00041327580798951845
Jeffrey M Bethony,0.018238434163701068,0.0013512770023334823
Loc Le,0.01779359430604982,0.008430351007969322
Jiaojiao Lin,0.017348754448398576,0.00020678125410888897
Stephen Cose,0.017348754448398576,0.0009585734716276497
Weidong Zhang,0.017348754448398576,0.000244661921708186
Zhiqiang Fu,0.017348754448398576,0.00020678125410888897
Maria Yazdanbakhsh,0.016459074733096084,0.000607307700632608
Workineh Torben,0.016459074733096084,0.0003271166616778096
R Correa-Oliveira,0.016459074733096084,0.0013423724053317962
François Trottein,0.016459074733096084,0.006360616052720352
Philip L Felgner,0.01601423487544484,0.00011015146258795398
Gul Ahmad,0.01601423487544484,0.00015725791763474358
Alison M Elliott,0.01601423487544484,0.0003007172869480383
Kenji Hirayama,0.015124555160142349,0.0005060763239521158
Mihoko Kikuchi,0.015124555160142349,0.0005060763239521158
Roman F Wolf,0.015124555160142349,0.00015171474183846645
Rodrigo Correa-Oliveira,0.015124555160142349,0.008575206942157654
Denise L Doolan,0.014679715302491103,0.0002347248630951024
Giovanni Gazzinelli,0.014679715302491103,0.004978601175814312
Govert J van Dam,0.014234875444839857,4.739980936000297e-05
Meta Roestenberg,0.014234875444839857,4.739980936000297e-05
Miriam Casacuberta-Partal,0.014234875444839857,4.739980936000297e-05
Lisette van Lieshout,0.014234875444839857,4.739980936000297e-05
Patrick Driguez,0.014234875444839857,6.486611905203667e-05
Jacqueline J Janse,0.014234875444839857,4.739980936000297e-05
Claudia de Dood,0.014234875444839857,4.739980936000297e-05
Soraya Gaze,0.014234875444839857,6.486611905203667e-05
Rie Nakajima,0.013790035587188611,6.566523093827797e-05
David W Dunne,0.013790035587188611,0.0008919233816962221
Darrick Carter,0.013790035587188611,0.00011477563424049652
Juan U Rojo,0.013345195729537365,0.00011347232802649083
Amélia Ribeiro de Jesus,0.013345195729537365,0.003893764243982114
R Alan Wilson,0.013345195729537365,0.002325164275974134
Christelle Faveeuw,0.013345195729537365,4.575099737570221e-05
Geoffrey N Gobert,0.013345195729537365,0.0016642788054492365
Monique Capron,0.013345195729537365,4.575099737570221e-05
Paul J Brindley,0.013345195729537365,0.0033561861753899536
Josette Fontaine,0.013345195729537365,4.575099737570221e-05
Takafira Mduluza,0.012900355871886121,0.0018734047150730248
Francisca Mutapi,0.012900355871886121,0.0018734047150730248
Tiago Mendes,0.01201067615658363,4.391946970188898e-05
Roque Pacheco de Almeida,0.01201067615658363,0.00023281338344364254
Souvik Karmakar,0.01201067615658363,3.568969337087208e-06
Hermelijn H Smits,0.011565836298932384,2.4152408826636378e-05
Wei Hu,0.011565836298932384,0.0031188282676625377
Al Jasinskas,0.011565836298932384,4.961070040725473e-05
Min Yuan,0.011565836298932384,5.1794755884194245e-05
Fei Hu,0.011565836298932384,5.1794755884194245e-05
Adebayo J Molehin,0.011120996441281138,0.00010846807209929587
Yang Hong,0.011120996441281138,1.6585533930131002e-05
Rodrigo Correa Oliveira,0.011120996441281138,0.0010072742304092289
Gary L White,0.011120996441281138,0.00034824122070937244
Feng Liu,0.010676156583629894,1.278889844426812e-05
Lei He,0.010676156583629894,1.278889844426812e-05
Edgar M Carvalho,0.010676156583629894,0.003733771033052608
Fernanda C Cardoso,0.010676156583629894,2.609611982013618e-06
Edward J Pearce,0.010676156583629894,0.002483342756732187
Justin Sudduth,0.010676156583629894,7.720852001957533e-05
Emma L Houlder,0.010676156583629894,0.0
Chuan Su,0.010676156583629894,1.278889844426812e-05
Jan Pieter R Koopman,0.010676156583629894,0.0
Simon P Jochems,0.010676156583629894,0.0
Chuan-Xin Yu,0.010676156583629894,0.0002670825451733804
D W Dunne,0.010676156583629894,6.25586982722713e-05
Angela van Diepen,0.010676156583629894,0.0
Yvonne C M Kruize,0.010676156583629894,0.0
Linda J Wammes,0.010676156583629894,0.0
Inge M van Amerongen-Westra,0.010676156583629894,0.0
Jeroen C Sijtsma,0.010676156583629894,0.0
Pauline Meij,0.010676156583629894,0.0
Angela Trieu,0.010676156583629894,2.609611982013618e-06
