AuthorForename,AuthorLastname,ContributionCount
Jürg,Utzinger,169
Xiao-Nong,Zhou,146
Donald P,McManus,144
J Russell,Stothard,109
Jing,Xu,96
David,Rollinson,96
Jennifer,Keiser,75
Narcis B,Kabatereine,71
Robert,Bergquist,71
Charles H,King,69
Shi-Zhu,Li,65
Alan,Fenwick,61
Joanne P,Webster,61
W Evan,Secor,61
Kun,Yang,57
Eliézer K,N'Goran,55
Takafira,Mduluza,53
Daniel G,Colley,52
Francisca,Mutapi,51
Stefanie,Knopp,50
Geoffrey N,Gobert,50
Jiaojiao,Lin,49
Wei,Wang,46
Guo-Jing,Yang,45
Paul J,Brindley,44
Yang,Hong,44
Yuesheng,Li,42
Penelope,Vounatsou,42
Govert J,van Dam,42
David W,Dunne,41
You-Sheng,Liang,41
Remigio M,Olveda,40
Bo,Zhong,40
Wei,Hu,40
Jia-Gang,Guo,40
Paul L A M,Corstjens,39
Conor R,Caffrey,39
Pauline N M,Mwinzi,38
Diana M S,Karanja,38
Zhiqiang,Fu,38
Hao,Li,38
Christoph G,Grevelding,38
Ke,Lu,38
Jean T,Coulibaly,37
Bonnie L,Webster,37
Malcolm K,Jones,36
Li-Juan,Zhang,36
Josué,de Moraes,35
Eric S,Loker,35
Dan-Dan,Lin,35
Amadou,Garba,35
Nicholas,Midzi,35
Lisette,van Lieshout,35
Song,Liang,35
J,Xu,34
Allen G,Ross,34
Fiona,Allan,33
Paulo Marcos Zech,Coelho,33
Peter J,Hotez,33
Amaya L,Bustinduy,32
Rong,Zhu,32
Edridah M,Tukahebwa,32
Alex,Loukas,31
Gail M,Williams,31
Karl F,Hoffmann,31
Darren J,Gray,30
Tian-Ping,Wang,30
Pengfei,Cai,30
Birgitte J,Vennervald,30
Yuichi,Chigusa,30
Fei,Hu,29
Zhijie,Zhang,29
J R,Stothard,29
Hong,You,29
Berhanu,Erko,28
Marcel,Tanner,28
Le-Ping,Sun,28
Jérôme,Boissier,27
Afzal A,Siddiqui,27
Susanne H,Sokolow,27
Susan P,Montgomery,27
Li,Shi-Zhu,26
Zheng,Feng,26
Sergio,Verjovski-Almeida,26
Michael H,Hsieh,26
Eyrun Floerecke,Kjetland,26
Maurice R,Odiere,26
Masashi,Kirinoki,26
D,Rollinson,25
Qingwu,Jiang,25
Yi,Zhang,25
Chuan,Su,25
Constança Simões,Barbosa,25
Giulio A,De Leo,25
Ana Lúcia Coutinho,Domingues,25
X N,Zhou,24
David L,Williams,24
Jinming,Liu,24
Jie,Zhou,24
Miguel J,Stadecker,24
J,Utzinger,24
Wei,Li,24
Lin,Chen,24
Qing-Biao,Hong,24
Carl H,Campbell,24
Qiang,Wang,24
Zhongdao,Wu,24
José Roberto,Lambertucci,24
Yue,Chen,23
Xiao-nong,Zhou,23
Moses,Adriko,23
Gabriel,Rinaldi,23
Giovanna,Raso,22
Catherine A,Gordon,22
Annette,Olsen,22
Alison M,Elliott,22
Yi,Hu,22
Cornelis H,Hokke,22
Gerald M,Mkoji,22
Wei,Zhang,22
Katja,Polman,22
Guofeng,Cheng,22
Jennifer F,Friedman,22
Joachim,Richter,21
Humphrey D,Mazigo,21
Martha,Betson,21
Mamadou,Ouattara,21
Svein Gunnar,Gundersen,21
Yang,Liu,21
Ping,Yi,21
Nobuo,Ohta,21
Qing-Wu,Jiang,21
Jan,Hattendorf,21
Philip T,LoVerde,21
Guilherme,Oliveira,21
Zhou,Xiao-Nong,21
Myra,Taylor,20
Fatma,Kabole,20
Feng,Liu,20
Maria,Yazdanbakhsh,20
Sha,Zhou,20
Yue-Sheng,Li,20
Fiona M,Fleming,20
Shan,Lv,20
D P,McManus,20
Carlos,Graeff-Teixeira,20
S Z,Li,20
Colette,Dissous,20
Yaobi,Zhang,20
S,Lü,20
Xiao-Hua,Wu,19
Antonio,Muro,19
R Alan,Wilson,19
Samson,Mukaratirwa,19
M,Tanner,19
Ryan E,Wiegand,19
Jian-Rong,Dai,19
Yanin,Limpanont,19
Gilles,Riveau,19
Lydia R,Leonardo,19
Safari,Kinung'hi,19
Jonathan D,Kurtis,19
Roy M,Anderson,18
Sammy M,Njenga,18
Simon,Brooker,18
Rashika,El Ridi,18
Thomas A,Wynn,18
Hajime,Matsuda,18
Frances M,Jones,18
Tie-Wu,Jia,18
Nupur,Kittur,18
Said M,Ali,18
Matthew,Berriman,18
Elizabeth J,Carlton,18
Min,Zhang,18
Jie,Wang,18
John H,Ouma,18
Artemis,Koukounari,18
Poppy H L,Lamberton,18
Eyrun F,Kjetland,18
Francis,Kazibwe,18
Yi-Xin,Huang,18
Shaali M,Ame,17
Robert C,Spear,17
David U,Olveda,17
Weidong,Zhang,17
Shi-zhu,Li,17
Edward J,Pearce,17
Peter,Steinmann,17
Jun,Ge,17
Sake J,de Vlas,17
Hatem,Tallima,17
Pascal,Magnussen,17
Qing,Yu,17
Shi-Qing,Zhang,17
Robert M,Greenberg,17
Lorenzo,Zammarchi,16
Edgar M,Carvalho,16
Dan-dan,Lin,16
Shizhu,Li,16
Federico,Gobbi,16
Hong-Gen,Chen,16
Donald A,Harn,16
Yamei,Jin,16
Anna E,Phillips,16
Hong-Jun,Li,16
Martin Johannes,Enk,16
Naftale,Katz,16
Ying,Xiao,16
Luz P,Acosta,16
Remigio,Olveda,16
K,Yang,16
Xu,Jing,16
André M,Deelder,16
Bin,Xu,16
Sue,Binder,16
Safari M,Kinung'hi,16
Zeno,Bisoffi,16
Rodrigo,Correa-Oliveira,16
Shona,Wilson,16
Xi,Sun,16
An,Ning,16
Moussa,Sacko,16
Chuan-Xin,Yu,16
Yong,Wang,16
Chun-Li,Cao,16
Patrick J,Skelly,15
Jia-gang,Guo,15
Y,Liu,15
Tian-ping,Wang,15
Justin V,Remais,15
Khalfan A,Mohammed,15
Peter G,Kremsner,15
Hai-Wei,Wu,15
Mark S,Pearson,15
Norman,Nausch,15
Aidan M,Emery,15
Yi-Biao,Zhou,15
Si-Ming,Zhang,15
Da-Bing,Lu,15
Vanderlei,Rodrigues,15
Dora,Buonfrate,15
N B,Kabatereine,15
Min,Yuan,15
Yao,Deng,15
Kwabena M,Bosompem,15
Mark,Booth,15
Workineh,Torben,15
Laura I,Rutitzky,15
Takashi,Kumagai,15
Jian-Feng,Zhang,15
Yaojun,Shi,15
Bobbie,Person,15
Xi-Bao,Huang,15
Mohamed R,Habib,15
Maria Elena,Bottazzi,15
Robin B,Gasser,15
Sergio C,Oliveira,14
Yun,Zhang,14
Antonio,Montresor,14
Eveline,Hürlimann,14
Ana C,Mengarda,14
Matty,Knight,14
Tine,Huyse,14
Cristiano Lara,Massara,14
Jun-Fang,Xu,14
Mihoko,Kikuchi,14
Gabriel,Mouahid,14
Elisabeth,Kleppa,14
Ricardo,DeMarco,14
Cao,Chun-Li,14
Loc,Le,14
Muriel,Rabone,14
Louis-Albert,Tchuem Tchuenté,14
Emily L,Webb,14
Eli,Schwartz,14
A,Garba,14
Bonnie,Webster,14
Neil D,Young,14
Liang,You-Sheng,14
Zu-Wu,Tu,13
A,Fenwick,13
E James,LaCourse,13
Yang,Gao,13
Julien,Lancelot,13
Moses John,Chimbari,13
Jifeng,Zhu,13
Jianping,Cao,13
Qing-wu,Jiang,13
Xu-Ren,Yin,13
Xiaodan,Cao,13
Jeffrey M,Bethony,13
Jaspreet,Toor,13
Martin,Walker,13
Rufin K,Assaré,13
Fenghua,Gao,13
Gul,Ahmad,13
Eliana,Nakano,13
Hélène,Moné,13
Li-Jun,Song,13
Hiroshi,Ohmae,13
V R,Southgate,13
Thomas K,Kristensen,13
