Author,Degree Centrality,Betweenness Centrality
Jürg Utzinger,0.02291488756048961,0.05495226622793403
David Rollinson,0.01949900370054085,0.06450776006619201
Donald P McManus,0.01693709080557928,0.033010320452095204
Xiao-Nong Zhou,0.016652433817250213,0.04748208842512676
J Russell Stothard,0.01655754815447386,0.016412540045093828
Jing Xu,0.013331435620077806,0.01958217133839908
Paul L A M Corstjens,0.012619793149255147,0.015063991227457853
Govert J van Dam,0.012335136160926085,0.018082855844400083
Alan Fenwick,0.01119650820760983,0.008355211100367868
Jennifer Keiser,0.010722079893728058,0.012173535071909911
W Evan Secor,0.010722079893728058,0.008014494247272054
Conor R Caffrey,0.00982066609735269,0.012398044333265126
Amadou Garba,0.009346237783470917,0.007598505137664881
Eliézer K N'Goran,0.00929879495208274,0.004119838340503245
Robert Bergquist,0.00929879495208274,0.021196180408064643
Joanne P Webster,0.009251352120694563,0.005660028945266093
Karl F Hoffmann,0.009156466457918209,0.00496382838139463
Guilherme Oliveira,0.009109023626530032,0.02113813622267634
Charles H King,0.009014137963753676,0.013493838512631237
Gerald M Mkoji,0.008729480975424614,0.006216069405491488
Narcis B Kabatereine,0.008729480975424614,0.0061794277408702605
Eric S Loker,0.008634595312648258,0.0019837570918231
Stefanie Knopp,0.008634595312648258,0.002281718011295684
Amaya L Bustinduy,0.008492266818483727,0.013257756092737147
Francisca Mutapi,0.008207609830154663,0.004697891999639393
Lisette van Lieshout,0.008160166998766486,0.007582758681446707
Takafira Mduluza,0.007495967359332005,0.0025710387032063394
Shi-Zhu Li,0.007163867539614764,0.003799477516649883
Yanin Limpanont,0.007021539045450232,0.0021184565368495816
Daniel G Colley,0.006974096214062055,0.003934785642001829
Kun Yang,0.006831767719897523,0.006578969623137202
Bonnie L Webster,0.006736882057121169,0.0033540022999429195
Jia-Gang Guo,0.0066419963943448145,0.008484878344052328
Iain W Chalmers,0.0066419963943448145,0.000942401012842133
Guillaume Mitta,0.0066419963943448145,0.0010238593327796556
Sake J de Vlas,0.00654711073156846,0.003623259995690975
Richard Galinier,0.00654711073156846,0.0009527339590495983
Wander de Jesus Jeremias,0.0064522250687921055,0.0008247229605447776
Timothy P Yoshino,0.0064047822374039285,0.00040668163901482504
Wei Wang,0.0063573394060157514,0.007768650298654498
Bo Zhong,0.0063098965746275736,0.002891780117495746
Martin Walker,0.0062624537432393965,0.0014267693953362503
Diana M S Karanja,0.0062150109118512195,0.001301564790299272
Fernanda Ludolf,0.0062150109118512195,0.0009393802165027287
David Duval,0.0062150109118512195,0.00017206814803462464
Roberta Lima Caldeira,0.0061675680804630425,0.0012082051000091715
Alison M Elliott,0.006120125249074865,0.0025256882826666057
Matheus de Souza Gomes,0.006072682417686688,0.0004884792939038764
Kathrin K Geyer,0.006072682417686688,9.80782877019656e-05
Laurence Rodrigues do Amaral,0.006072682417686688,0.0004884792939038764
Patrick C Hanington,0.0060252395862985106,0.0011531531984152019
Omar S Carvalho,0.0060252395862985106,0.0020922719309013856
Christoph Grunau,0.005977796754910333,0.00049506146402885
Benjamin Gourbal,0.005882911092133979,9.1971084211759e-05
Fiona Allan,0.005835468260745802,0.0015803955437313606
Xiao-Jun Wu,0.005835468260745802,0.00039217826519616583
Pauline N M Mwinzi,0.005835468260745802,0.0009914268774822406
Matty Knight,0.005835468260745802,0.0003623920102907116
Martin Swain,0.005835468260745802,0.00012038396776152238
Utibe Bickham-Wright,0.005835468260745802,7.833365095534716e-05
Anthony J Walker,0.005788025429357624,2.7910633143324057e-05
Maria G Castillo,0.005740582597969447,0.00025455158793159257
Yuesheng Li,0.005740582597969447,0.0076277707619811464
Chad Tomlinson,0.005740582597969447,2.3848592064588907e-05
David W Dunne,0.005740582597969447,0.003059209944518475
Si-Ming Zhang,0.00569313976658127,0.00010881211992500591
Lorenzo Zammarchi,0.00569313976658127,0.0017516158243716976
Bishoy Kamel,0.00569313976658127,3.6023986293221835e-05
Nithya Raghavan,0.00569313976658127,0.00021395310841272074
Christopher J Bayne,0.005645696935193093,5.7363425979684374e-05
Joanna M Bridger,0.005645696935193093,6.368401774040144e-05
Paul J Brindley,0.005645696935193093,0.009678741992650784
Jacob A Tennessen,0.005645696935193093,5.7363425979684374e-05
Michael Blouin,0.005645696935193093,0.00014089165112696534
Sarah K Buddenborg,0.005598254103804915,2.40094261234056e-05
Coen M Adema,0.005598254103804915,8.376620099170877e-05
Edridah M Tukahebwa,0.005550811272416738,0.0018813021422454783
Louis-Albert Tchuem Tchuenté,0.005550811272416738,0.004795956907064689
Halime D Arican-Goktas,0.005550811272416738,2.1898826513525304e-05
Emmanuel A Pila,0.005550811272416738,3.129541676077988e-05
Susan P Montgomery,0.005550811272416738,0.0014870142431844722
Monica Medina,0.005503368441028561,0.0
Juliana G Assis,0.005503368441028561,0.0
Andrew Shedlock,0.005503368441028561,0.0
Mikkel Christensens,0.005503368441028561,0.0
Kyle K Biggar,0.005503368441028561,0.0
Elio Hideo Baba,0.005503368441028561,0.0
Olga L Baron,0.005503368441028561,0.0
Patrick Minx,0.005503368441028561,0.0
LaDeana W Hillier,0.005503368441028561,0.0
Catrina Fronick,0.005503368441028561,0.0
Sandra Clifton,0.005503368441028561,0.0
Celine Cosseau,0.005503368441028561,0.0
Ty Anna L Lovato,0.005503368441028561,0.0
Nathalie Dinguirard,0.005503368441028561,0.0
Peter FitzGerald,0.005503368441028561,0.0
Yesid Cuesta-Astroz,0.005503368441028561,0.0
Rene Feyereisen,0.005503368441028561,0.0
Lucinda Fulton,0.005503368441028561,0.0
Sandra G Gava,0.005503368441028561,0.0
Michael Geusz,0.005503368441028561,0.0
Daniel Hughes,0.005503368441028561,0.0
Susan Jobling,0.005503368441028561,0.0
Edwin J Routledge,0.005503368441028561,0.0
Kathryn M Ryan,0.005503368441028561,0.0
Fabiano S Pais,0.005503368441028561,0.0
Leslie R Noble,0.005503368441028561,0.0
Janeth J Pena,0.005503368441028561,0.0
Francislon S Oliveira,0.005503368441028561,0.0
Rob Peace,0.005503368441028561,0.0
Anthony T Papenfuss,0.005503368441028561,0.0
Michael J Montague,0.005503368441028561,0.0
Milind Misra,0.005503368441028561,0.0
Titouan Quelais,0.005503368441028561,0.0
Larissa L S Scholte,0.005503368441028561,0.0
Tianfang Wang,0.005503368441028561,0.0
Damian L Trujillo,0.005503368441028561,0.0
Emanuela V Volpi,0.005503368441028561,0.0
Kenneth B Storey,0.005503368441028561,0.0
Izinara C Rosse,0.005503368441028561,0.0
Ittiprasert Wannaporn,0.005503368441028561,0.0
Richard K Wilson,0.005503368441028561,0.0
Bronwyn Rotgans,0.005503368441028561,0.0
Brian J Raney,0.005503368441028561,0.0
Mohammed Yusuf,0.005503368441028561,0.0
Wesley C Warren,0.005503368441028561,0.0
Min Zhao,0.005503368441028561,0.0
Jonathan P Rast,0.005503368441028561,0.0
Gloria I Giraldo-Calderón,0.005503368441028561,0.0
Michelle A Gordy,0.005503368441028561,0.0
Richard M Cripps,0.005503368441028561,0.0
Christine Coustau,0.005503368441028561,0.0
Cédric Feschotte,0.005503368441028561,0.0
Scott Emrich,0.005503368441028561,0.0
Aurélie Kapusta,0.005503368441028561,0.0
Liana K Jannotti-Passos,0.005503368441028561,0.0
Judith Humphries,0.005503368441028561,0.0
Anne E Lockyer,0.005503368441028561,0.0
Scott P Lawton,0.005503368441028561,0.0
Dan Lawson,0.005503368441028561,0.0
Cesar Montelongo,0.005503368441028561,0.0
Leonid L Moroz,0.005503368441028561,0.0
Joris M Koene,0.005503368441028561,0.0
Andrea B Kohn,0.005503368441028561,0.0
Monica C Munoz-Torres,0.005503368441028561,0.0
Umar Niazi,0.005503368441028561,0.0
Catherine S Jones,0.005503368441028561,0.0
Yi Zhang,0.005503368441028561,0.003018545223760476
Scott F Cummins,0.005503368441028561,0.0
Leon Di Stefano,0.005503368441028561,0.0
Sijun Liu,0.005503368441028561,0.0
Di Liang,0.005503368441028561,0.0
J Xu,0.005503368441028561,0.0024962795642890913
Vince Magrini,0.005503368441028561,0.0
Satwant Kaur,0.005503368441028561,0.0
Daniel J Jackson,0.005503368441028561,0.0
Bryony C Bonning,0.005503368441028561,0.0
Katherine M Buckley,0.005503368441028561,0.0
Chris Botka,0.005503368441028561,0.0
Julia Carleton,0.005503368441028561,0.0
David L Williams,0.005455925609640384,0.0034918665749024804
Anna E Phillips,0.005455925609640384,0.002920321623294463
Moses Adriko,0.005455925609640384,0.0005919494627408823
Guo-Jing Yang,0.005408482778252206,0.0023992291141822926
Hao Li,0.005361039946864029,0.004310778069557161
Susanne H Sokolow,0.005361039946864029,0.0007954862222322532
Jean T Coulibaly,0.005361039946864029,0.0009206592215371941
Maurice R Odiere,0.005313597115475852,0.001822752775432463
Jie Zhou,0.005266154284087675,0.007233284407848574
Claudia J de Dood,0.005266154284087675,0.003312094937105534
Fei Hu,0.005123825789923143,0.005002293825561018
Lin Chen,0.005028940127146788,0.002900516249530942
Gail M Williams,0.005028940127146788,0.0007861757886947502
Penelope Vounatsou,0.005028940127146788,0.0033510925900109407
Yaobi Zhang,0.004981497295758611,0.0038886896073965786
Wei Hu,0.004981497295758611,0.006285334555583721
Giovanna Raso,0.004981497295758611,0.0013375780551524044
Wei Li,0.004981497295758611,0.005086463396824439
Giulio A De Leo,0.004981497295758611,0.0006761376587756525
Roy M Anderson,0.004981497295758611,0.000804627741967274
Darren J Gray,0.004934054464370434,0.0008135512762364542
Emily R Adams,0.004934054464370434,0.00014692408830182567
Maria Yazdanbakhsh,0.004934054464370434,0.004393065082258915
Artemis Koukounari,0.004934054464370434,0.0016244828825217026
Nicholas Midzi,0.004886611632982257,0.0017166391054543888
Gilles Riveau,0.004839168801594079,0.000701816884304727
Sammy M Njenga,0.004839168801594079,0.0014004692057242715
Birgitte J Vennervald,0.004839168801594079,0.002145468652488308
Fiona M Fleming,0.004791725970205902,0.0007494155260349827
Jun Ge,0.004791725970205902,0.005641011307645206
Federico Gobbi,0.004791725970205902,0.0036309460841938983
Maria-Gloria Basáñez,0.004791725970205902,0.0011097315541631495
Li-Juan Zhang,0.004791725970205902,0.00021122763682433456
Katja Polman,0.004744283138817725,0.0066600695282124965
