Author,Degree Centrality,Betweenness Centrality
Donald P McManus,0.04125934445083381,0.07143041974603613
David Rollinson,0.0375215641173088,0.05023695003680806
Karl F Hoffmann,0.029327199539965498,0.030274042762741465
Guilherme Oliveira,0.025445658424381828,0.014530234830762658
Eric S Loker,0.02487061529614721,0.007747163329012863
Yanin Limpanont,0.024151811385853938,0.014398311097634476
Gerald M Mkoji,0.023289246693502012,0.00750951739170775
Christoph Grunau,0.023001725129384705,0.01489236271783169
Roberta Lima Caldeira,0.021995399654974122,0.014065073856173421
Matty Knight,0.02127659574468085,0.02682746398181003
Matheus de Souza Gomes,0.020414031052328925,0.00795863435994161
Iain W Chalmers,0.020126509488211618,0.0015697976898450116
Timothy P Yoshino,0.020126509488211618,0.013508753260868044
Paul J Brindley,0.01998274870615296,0.018962336154521132
Conor R Caffrey,0.019551466359977,0.01966371916036455
Guillaume Mitta,0.019551466359977,0.007529779377199919
Si-Ming Zhang,0.019551466359977,0.007477617447843234
Wander de Jesus Jeremias,0.019551466359977,0.006253709595728714
Kathrin K Geyer,0.01926394479585969,0.0011802848558606774
Laurence Rodrigues do Amaral,0.019120184013801035,0.00548152564390251
Sarah K Buddenborg,0.01897642323174238,0.0019349435362434044
Fernanda Ludolf,0.01825761932144911,0.0029125139849774015
Anthony J Walker,0.018113858539390456,0.0015334465976669371
Jacob A Tennessen,0.0179700977573318,0.0009640155690795619
Bonnie L Webster,0.017826336975273145,0.01594274568545379
Benjamin Gourbal,0.017826336975273145,0.0016903557997872871
Christopher J Bayne,0.01768257619321449,0.0005440378167180798
Scott F Cummins,0.017538815411155838,0.00011373645175173076
Tianfang Wang,0.017538815411155838,0.00011373645175173076
Di Liang,0.017538815411155838,0.00011373645175173076
Nithya Raghavan,0.017538815411155838,0.00024718868718756897
Coen M Adema,0.017538815411155838,0.00017438012760971665
Christine Coustau,0.017538815411155838,0.0014289666401258482
Nathalie Dinguirard,0.017395054629097184,0.0007847073964413785
Jennifer Keiser,0.017395054629097184,0.014635808555021943
Xiao-Jun Wu,0.017395054629097184,0.0005249774667959355
Richard Galinier,0.017251293847038527,0.0001073439371632863
Joanna M Bridger,0.017251293847038527,9.30462683269172e-05
Omar S Carvalho,0.017251293847038527,0.004746013750816746
Elio Hideo Baba,0.017251293847038527,0.004696796086522477
Anne E Lockyer,0.017251293847038527,0.0008742444943313952
Celine Cosseau,0.017251293847038527,0.0001749501302576597
Maria G Castillo,0.017251293847038527,0.0007056089240457803
David Duval,0.017251293847038527,0.0001073439371632863
Min Zhao,0.017251293847038527,6.297226138084853e-05
Halime D Arican-Goktas,0.017107533064979873,7.637483848421573e-05
Scott P Lawton,0.016820011500862566,8.020646302236173e-05
Michael Blouin,0.01667625071880391,0.0
Kyle K Biggar,0.01667625071880391,0.0
Olga L Baron,0.01667625071880391,0.0
Juliana G Assis,0.01667625071880391,0.0
Andrew Shedlock,0.01667625071880391,0.0
Patrick Minx,0.01667625071880391,0.0
Bryony C Bonning,0.01667625071880391,0.0
Utibe Bickham-Wright,0.01667625071880391,0.0
Catherine S Jones,0.01667625071880391,0.0
LaDeana W Hillier,0.01667625071880391,0.0
Leon di Stephano,0.01667625071880391,0.0
Yesid Cuesta-Astroz,0.01667625071880391,0.0
Richard M Cripps,0.01667625071880391,0.0
Sandra Clifton,0.01667625071880391,0.0
Mikkel Christensens,0.01667625071880391,0.0
Chris Botka,0.01667625071880391,0.0
Katherine M Buckley,0.01667625071880391,0.0
Julia Carleton,0.01667625071880391,0.0
Michael Geusz,0.01667625071880391,0.0
Sandra G Gava,0.01667625071880391,0.0
Gloria I Giraldo-Calderón,0.01667625071880391,0.0
Scott Emrich,0.01667625071880391,0.0
Catrina Fronick,0.01667625071880391,0.0
Lucinda Fulton,0.01667625071880391,0.0
Rene Feyereisen,0.01667625071880391,0.0
Cédric Feschotte,0.01667625071880391,0.0
Daniel J Jackson,0.01667625071880391,0.0
Liana K Jannotti-Passos,0.01667625071880391,0.0
Susan Jobling,0.01667625071880391,0.0
Bishoy Kamel,0.01667625071880391,0.0
Aurélie Kapusta,0.01667625071880391,0.0
Satwant Kaur,0.01667625071880391,0.0
Joris M Koene,0.01667625071880391,0.0
Andrea B Kohn,0.01667625071880391,0.0
